time_s,x_m,v_m_s,theta_rad,omega_rad_s,force_N,push_N
2.375000000000000167e-01,3.791352282927944184e-02,1.447819166385193590e-01,-3.485407456965121387e-03,-1.701017523038808599e-01,-5.241525518697207620e-01,0.000000000000000000e+00
2.399999999999999911e-01,3.827341058297092924e-02,1.431279155842445083e-01,-3.906750138773011811e-03,-1.669750970238667864e-01,-5.258221428918619100e-01,0.000000000000000000e+00
2.424999999999999933e-01,3.862916085924758547e-02,1.414720545831177623e-01,-4.320296913341289263e-03,-1.638652026099133296e-01,-5.272465793067735440e-01,0.000000000000000000e+00
2.449999999999999956e-01,3.898076989545471577e-02,1.398150387302572739e-01,-4.726090980685596597e-03,-1.607730983394340951e-01,-5.284348557492837273e-01,0.000000000000000000e+00
2.474999999999999978e-01,3.932823565695869189e-02,1.381575454834868544e-01,-5.124178047234477680e-03,-1.576997603580573004e-01,-5.293957129170847598e-01,0.000000000000000000e+00
2.500000000000000000e-01,3.967155776906589743e-02,1.365002254697247341e-01,-5.514606195175771400e-03,-1.546461134125798886e-01,-5.301376436926650282e-01,0.000000000000000000e+00
2.525000000000000022e-01,4.001073745093270545e-02,1.348437032715031070e-01,-5.897425756077823156e-03,-1.516130325380352639e-01,-5.306688991404029387e-01,0.000000000000000000e+00
2.550000000000000044e-01,4.034577745141734034e-02,1.331885781940290725e-01,-6.272689188672059442e-03,-1.486013446998839527e-01,-5.309974943805702008e-01,0.000000000000000000e+00
2.575000000000000067e-01,4.067668198682552333e-02,1.315354250131913483e-01,-6.640450960685980418e-03,-1.456118303923204516e-01,-5.311312143420396925e-01,0.000000000000000000e+00
2.600000000000000089e-01,4.100345668050269649e-02,1.298847947049112661e-01,-7.000767434618084331e-03,-1.426452251936738413e-01,-5.310776193954824809e-01,0.000000000000000000e+00
2.625000000000000111e-01,4.132610850422672316e-02,1.282372151562311269e-01,-7.353696757348661926e-03,-1.397022212798637308e-01,-5.308440508688410109e-01,0.000000000000000000e+00
2.650000000000000133e-01,4.164464572135590653e-02,1.265931918585266880e-01,-7.699298753482791170e-03,-1.367834688968575518e-01,-5.304376364469001182e-01,0.000000000000000000e+00
2.675000000000000155e-01,4.195907783168806304e-02,1.249532085832247424e-01,-8.037634822324193212e-03,-1.338895777930590170e-01,-5.298652954567426576e-01,0.000000000000000000e+00
2.700000000000000178e-01,4.226941551798743535e-02,1.233177280404011006e-01,-8.368767838380926360e-03,-1.310211186125420368e-01,-5.291337440409076276e-01,0.000000000000000000e+00
2.725000000000000200e-01,4.257567059413707583e-02,1.216871925206280819e-01,-8.692762055306167343e-03,-1.281786242500286277e-01,-5.282495002200526812e-01,0.000000000000000000e+00
2.750000000000000222e-01,4.287785595487526857e-02,1.200620245204348235e-01,-9.009683013179527883e-03,-1.253625911684937977e-01,-5.272188888469324652e-01,0.000000000000000000e+00
2.775000000000000244e-01,4.317598552707554299e-02,1.184426273517378003e-01,-9.319597449036582867e-03,-1.225734806802645377e-01,-5.260480464534851297e-01,0.000000000000000000e+00
2.800000000000000266e-01,4.347007422253054698e-02,1.168293857355929971e-01,-9.622573210556390616e-03,-1.198117201924648045e-01,-5.247429259928313439e-01,0.000000000000000000e+00
2.825000000000000289e-01,4.376013789220107447e-02,1.152226663806152490e-01,-9.918679172818941139e-03,-1.170777044176428555e-01,-5.233093014779732766e-01,0.000000000000000000e+00
2.850000000000000311e-01,4.404619328189234018e-02,1.136228185464045748e-01,-1.020798515804650398e-02,-1.143717965504019163e-01,-5.217527725189756715e-01,0.000000000000000000e+00
2.875000000000000333e-01,4.432825798932042705e-02,1.120301745923131947e-01,-1.049056185824489597e-02,-1.116943294108400792e-01,-5.200787687604009335e-01,0.000000000000000000e+00
2.899999999999999800e-01,4.460635042253265764e-02,1.104450505118812903e-01,-1.076648076066269097e-02,-1.090456065555900772e-01,-5.182925542207624803e-01,0.000000000000000000e+00
2.924999999999999822e-01,4.488048975964647330e-02,1.088677464532636086e-01,-1.103581407598832817e-02,-1.064259033572346885e-01,-5.163992315357480711e-01,0.000000000000000000e+00
2.949999999999999845e-01,4.515069590987223075e-02,1.072985472259634643e-01,-1.129863466920703365e-02,-1.038354680528585788e-01,-5.144037461069468353e-01,0.000000000000000000e+00
2.974999999999999867e-01,4.541698947578599876e-02,1.057377227941847520e-01,-1.155501599304131419e-02,-1.012745227624826938e-01,-5.123108901578086183e-01,0.000000000000000000e+00
2.999999999999999889e-01,4.567939171681934668e-02,1.041855287571068628e-01,-1.180503202390065925e-02,-9.874326447811276886e-02,-5.101253066985457219e-01,0.000000000000000000e+00
3.024999999999999911e-01,4.593792451393381021e-02,1.026422068163820450e-01,-1.204875720026787195e-02,-9.624186602411896607e-02,-5.078514934016649107e-01,0.000000000000000000e+00
3.049999999999999933e-01,4.619261033544838635e-02,1.011079852311488336e-01,-1.228626636345125228e-02,-9.377047698964939559e-02,-5.054938063898153366e-01,0.000000000000000000e+00
3.074999999999999956e-01,4.644347220398928333e-02,9.958307926084972173e-02,-1.251763470063357864e-02,-9.132922463376624833e-02,-5.030564639376071678e-01,0.000000000000000000e+00
